band,bandIdx
beta,3.0
alpha,2.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
alpha,2.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
alpha,2.0
beta,3.0
beta,3.0
beta,3.0
alpha,2.0
beta,3.0
beta,3.0
beta,3.0
theta,1.0
beta,3.0
beta,3.0
delta,0.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
delta,0.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
theta,1.0
theta,1.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
alpha,2.0
alpha,2.0
theta,1.0
alpha,2.0
alpha,2.0
theta,1.0
lgamma,4.0
lgamma,4.0
lgamma,4.0
lgamma,4.0
lgamma,4.0
alpha,2.0
alpha,2.0
lgamma,4.0
theta,1.0
lgamma,4.0
lgamma,4.0
lgamma,4.0
lgamma,4.0
delta,0.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
theta,1.0
beta,3.0
beta,3.0
theta,1.0
theta,1.0
beta,3.0
alpha,2.0
theta,1.0
theta,1.0
theta,1.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
theta,1.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
lgamma,4.0
beta,3.0
beta,3.0
beta,3.0
delta,0.0
delta,0.0
beta,3.0
delta,0.0
beta,3.0
delta,0.0
beta,3.0
delta,0.0
beta,3.0
theta,1.0
beta,3.0
alpha,2.0
beta,3.0
beta,3.0
theta,1.0
theta,1.0
beta,3.0
theta,1.0
alpha,2.0
delta,0.0
beta,3.0
delta,0.0
alpha,2.0
alpha,2.0
alpha,2.0
beta,3.0
alpha,2.0
theta,1.0
alpha,2.0
theta,1.0
beta,3.0
beta,3.0
theta,1.0
delta,0.0
theta,1.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
beta,3.0
alpha,2.0
beta,3.0
beta,3.0
beta,3.0
lgamma,4.0
beta,3.0
delta,0.0
theta,1.0
beta,3.0
theta,1.0
delta,0.0
delta,0.0
theta,1.0
alpha,2.0
delta,0.0
theta,1.0
beta,3.0
theta,1.0
beta,3.0
delta,0.0
delta,0.0
delta,0.0
delta,0.0
delta,0.0
beta,3.0
alpha,2.0
delta,0.0
lgamma,4.0
delta,0.0
lgamma,4.0
hgamma,5.0
theta,1.0
lgamma,4.0
alpha,2.0
